DUE,STATUS,TYPE,TOPIC,CLASS
3/7/22,,Reading,DD CPP 19.4-19.5,Cpt_S 122
3/7/22,,Reading,8 Work and Kinetic Energy,Phys 201
3/7/22,,Reading,7.3,Math 216
3/7/22,,Homework,HW 6,Math 216
3/8/22,,Lab,Buoyancy,Phys 211
3/8/22,,Homework,Lab Report 6,Phys 211
3/9/22,,Reading,10.5 Comparison Tests,Math 172
3/9/22,,Reading,DD CPP 19.6,Cpt_S 122
3/9/22,,Quiz,Quiz 6,Cpt_S 122
3/9/22,,Reading,9 Potential Energy,Phys 201
3/9/22,,Reading,7.5,Math 216
3/11/22,,Reading,10.6a Abs. and Cond. Convergence,Math 172
3/11/22,,Reading,DD CPP 20.1,Cpt_S 122
3/11/22,,Homework,PA 4,Cpt_S 122
3/11/22,,Reading,9 Potential Energy,Phys 201
3/11/22,,Reading,9.1,Math 216
3/11/22,,Homework,Written 7,Math 172
3/15/22,,Homework,Lab Report 7,Phys 211
3/18/22,,Homework,Written 8,Math 172
3/21/22,,Reading,10.6b Abs. and Cond. Convergence,Math 172
3/21/22,,Reading,DD CPP 20.3,Cpt_S 122
3/21/22,,Reading,11 Rotational Energy,Phys 201
3/21/22,,Reading,8.3,Math 216
3/21/22,,Homework,HW 7,Math 216
3/22/22,,Lab,"Rotational Dynamics (Force, Torque)",Phys 211
3/22/22,,Homework,Lab Report 8,Phys 211
3/23/22,,Reading,10.7 Ratio and Root Tests,Math 172
3/23/22,,Reading,11 Rotational Energy,Phys 201
3/23/22,,Reading,8.4,Phys 211
3/25/22,,Reading,11.1a Taylor Polynomials,Math 172
3/25/22,,Homework,PA 5,Cpt_S 122
3/25/22,,Exam,Exam II,Phys 201
3/25/22,,Exam,Midterm 2,Math 216
3/25/22,,Homework,Written 9,Math 172
3/28/22,,Reading,11.1b Taylor Polynomials,Math 172
3/28/22,,Reading,DD CPP 11.1-11.3,Cpt_S 122
3/28/22,,Reading,11 Rotational Energy,Phys 201
3/28/22,,Reading,8.5,Phys 211
3/28/22,,Homework,HW 8,Math 216
3/29/22,,Lab,Spring-Mass Oscillations,Phys 211
3/29/22,,Homework,Lab Report 9,Phys 211
3/30/22,,Reading,11.2a Power Series Properties,Math 172
3/30/22,,Reading,DD CPP 11.5-11.6,Cpt_S 122
3/30/22,,Reading,13 Fluids,Phys 201
3/30/22,,Reading,8.6,Phys 211
4/1/22,,Reading,11.2b Power Series Manipulation,Math 172
4/1/22,,Reading,13 Fluids,Phys 201
4/1/22,,Reading,8.7,Phys 211
4/1/22,,Homework,Written 10,Math 172
4/4/22,,Reading,11.3 & 4 Taylor Series,Math 172
4/4/22,,Reading,DD CPP 12.1,Cpt_S 122
